row_id,orig_status,lane,wave_action,triage,retirement_state_provisional,ext,words,bytes,md5,path,closure_status
W1-11,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1086392,717621db3d93,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+5+related.+One-Light-45-Degree-Beauty-Dish.pdf,CLOSED_read_verified
W1-12,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1134351,b63c30d77cf9,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+5+related.+Open-Loop-Example.pdf,CLOSED_read_verified
W1-13,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1121834,c11bc1e5ead6,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+6+related.+Closed-Loop-Example.pdf,CLOSED_read_verified
W1-14,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,661719,145c7e66cb32,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+6+related.+Creative-Window-Light.pdf,CLOSED_read_verified
W1-15,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1121645,b92787cef962,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+2-Light-Clamshell.pdf,CLOSED_read_verified
W1-16,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1166067,8becbdfa8e8f,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Butterfly-Lighting.pdf,CLOSED_read_verified
W1-17,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,983776,91bb34ce9d30,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Fill-Light.pdf,CLOSED_read_verified
W1-18,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1141009,03b461f2c805,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Main-Key-Light.pdf,CLOSED_read_verified
W1-19,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,943084,f024448b8b4f,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+Rim-Hair-Light.pdf,CLOSED_read_verified
W1-20,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1130404,5f8d605044f3,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+7+related.+White-Background.pdf,CLOSED_read_verified
W1-21,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1022752,eae9508a0e95,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+8+related.+3-Light-Commercial.pdf,CLOSED_read_verified
W1-22,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1004668,201680762720,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+8+related.+Split-Lighting.pdf,CLOSED_read_verified
W1-23,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1286793,47f645034890,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+9+related.+4-Light-Beauty-On-White.pdf,CLOSED_read_verified
W1-24,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1041105,2712dd8925a8,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+9+related.+Short-Lighting.pdf,CLOSED_read_verified
W1-25,needs_ocr,C,close_now,vision_photobook,COLD_ARCHIVE_OK,.pdf,,9729275,940e70f7c134,/Users/sniper/Downloads/    SNIPED_OS/257683787-Cartier-Bresson-H-1952-the-Decisive-Moment.pdf,CLOSED_read_verified
W1-26,needs_ocr,C,close_now,vision_photobook,COLD_ARCHIVE_OK,.pdf,,9269515,06f36583ae42,/Users/sniper/Downloads/    SNIPED_OS/367490464-Szarkowski-1973-Looking-at-Photographs-pdf.pdf,CLOSED_read_verified
W1-27,needs_ocr,D,install_gated,true_ocr_epub,KEEP_ACTIVE_SOURCE,.epub,,43876162,02e2bd950f75,"/Users/sniper/Downloads/    SNIPED_OS/Annie Leibovitz - Annie Leibovitz at Work (2008, Random House) - libgen.li.epub",PENDING_install_decision (Lane D)
W1-28,needs_ocr,D,install_gated,true_ocr_epub,KEEP_ACTIVE_SOURCE,.epub,,0,d41d8cd98f00,"/Users/sniper/Downloads/    SNIPED_OS/Coddington, Grace - Grace_ A Memoir (2012, Random House Publishing Group) - libgen.li.epub",PENDING_install_decision (Lane D)
W1-29,needs_ocr,D,install_gated,true_ocr_text,KEEP_ACTIVE_SOURCE,.pdf,,54777427,545a1e7a41d9,"/Users/sniper/Downloads/    SNIPED_OS/John Caples, David Ogilvy - Tested Advertising Methods (4th Ed.) - libgen.li.pdf",PENDING_install_decision (Lane D)
W1-30,needs_ocr,C,defer,medium_visual_photobook,KEEP_ACTIVE_SOURCE,.pdf,,28337959,5e1c489a6ef5,"/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING / Robert Frank, Jack Kerouac - The Americans (2008, Steidl) - libgen.li.pdf",DEFERRED_large_visual_subwave
W1-31,needs_ocr,C,defer,large_visual,KEEP_ACTIVE_SOURCE,.pdf,,31668052,3688ddf7e40d,"/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING / Stephen Shore, Lynne Tillman, Stephan Schmidt-Wulffen - Stephen Shore_ Uncommon Places_ The Complete Works (2015, Aperture) - libgen.li.pdf",DEFERRED_large_visual_subwave
W1-32,needs_ocr,C,defer,large_visual_152pp,KEEP_ACTIVE_SOURCE,.pdf,,18822313,b80672d1a6f2,"/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING /Ernst Haas in Black and White{Jim Hughes_ Alexander Haas_ Ernst Haas}(1992, Bulfinch Press){115446337} libgen.li.pdf",DEFERRED_large_visual_subwave
W1-33,needs_ocr,C,defer,large_visual,KEEP_ACTIVE_SOURCE,.pdf,,15307168,cc42c1a836d7,/Users/sniper/Downloads/    SNIPED_OS/Shore Stephen. - Uncommon Places_ The Complete Works - libgen.li.pdf,DEFERRED_large_visual_subwave
W1-34,needs_ocr,D,install_gated,true_ocr_text,KEEP_ACTIVE_SOURCE,.pdf,,55967632,1f11febd7714,/Users/sniper/Downloads/    SNIPED_OS/Story{Robert McKee}{115577124} libgen.li.pdf,PENDING_install_decision (Lane D)
W1-35,needs_transcription,EXCEPTION,exception,exception_missing_source,NA_missing,.mp4,0,1624573316,,/Users/sniper/Downloads/    SNIPED_OS/ai-celebrity-content-blueprint_default-title_4d1c7250b2884530/ScreenRecording_03-30-2026 20-20-17_1.MP4,EXCEPTION_missing_source
W1-36,needs_visual_review,C,defer,large_visual_essay+plates,KEEP_ACTIVE_SOURCE,.pdf,,8951261,10732067757e,"/Users/sniper/Downloads/    SNIPED_OS/John Szarkowski - William Eggleston's Guide (2002, The Museum of Modern Art, New York) - libgen.li.pdf",DEFERRED_large_visual_subwave
W1-37,needs_visual_review,C,defer,large_visual_graphicnovel,KEEP_ACTIVE_SOURCE,.epub,,109429037,21fb5d6ea7fd,"/Users/sniper/Downloads/    SNIPED_OS/[Maus Series _1] Art Spiegelman - Maus I A Survivor's Tale My Father Bleeds History _1 (1986, Penguin Books) - libgen.li.epub",DEFERRED_large_visual_subwave
W1-38,needs_visual_review,C,defer,large_visual_graphicnovel,KEEP_ACTIVE_SOURCE,.epub,,81203033,4911df3a6324,"/Users/sniper/Downloads/    SNIPED_OS/[Maus Series _2] Art Spiegelman - Maus II A Survivor's Tale And Here My Troubles Began _2 (1992, Penguin Books) - libgen.li.epub",DEFERRED_large_visual_subwave
W1-39,needs_visual_review,C,close_now,vision_photobook,COLD_ARCHIVE_OK,.pdf,,787527,e0dd9615c693,/Users/sniper/Downloads/    SNIPED_OS/pdfcoffee.com_ernst-haas-pdf-free.pdf,CLOSED_read_verified
W1-40,needs_visual_review,C,defer,large_visual_506pp,KEEP_ACTIVE_SOURCE,.pdf,,50655626,f10e1e3d2055,/Users/sniper/Downloads/    SNIPED_OS/pdfcoffee.com_virgil-abloh-figures-of-speech-pdf-free.pdf,DEFERRED_large_visual_subwave
W1-41,not_read,A,close_now,read_text,KEEP_ACTIVE_SOURCE,.txt,6484,42028,f89e92f54830,/Users/sniper/Downloads/    SNIPED_OS/99_VAULT/_corpus_inventory/review_completion_work/b2_txt/cold_out_reach_instantly_gold_everything_use_this_alway.txt,CLOSED_read_verified
W1-42,not_read,A,close_now,read_text_segmented,KEEP_ACTIVE_SOURCE,.txt,186904,1246576,d03f719b3f85,/Users/sniper/Downloads/    SNIPED_OS/99_VAULT/_corpus_inventory/review_completion_work/docx_txt/cold_out_reach_instantly_gold_everything_use_this_.txt,CLOSED_read_verified
